time (s),inlet temp (K),outlet temp (K)
7366,743.19164305126,752.265496705722
7366.5,743.170953831351,752.195758503884
7367,743.151469151077,752.127031611777
7367.5,743.133133053831,752.059270085265
7368,743.115972045374,751.992362169614
7368.5,743.100021466722,751.926280879655
7369,743.085213580928,751.860990552397
7369.5,743.071616124939,751.796426475665
7370,743.05919375774,751.732493750485
7370.5,743.047952369499,751.669201755003
7371,743.037883124962,751.606641133968
7371.5,743.028994859384,751.544800662366
7372,743.021314078527,751.48379910627
7372.5,743.014808386459,751.423685757336
7373,743.009451277417,751.364478580664
7373.5,743.005328158859,751.306263462277
7374,743.002356568412,751.249018379483
7374.5,743.000589517601,751.192849059884
7375,743.000000500664,751.137631034786
7375.5,743.000589517601,751.083387607506
7376,743.002356568412,751.030016024418
7376.5,743.005328158859,750.977403137415
7377,743.009451277417,750.92554285015
7377.5,743.014808386459,750.874299070737
7378,743.021314078527,750.823672771707
7378.5,743.028994859384,750.773662587667
7379,743.037883124962,750.724289470362
7379.5,743.047952369499,750.67555808741
7380,743.05919375774,750.627452136846
7380.5,743.071616124939,750.58011909835
7381,743.085213580928,750.533450471057
7381.5,743.100021466722,750.487427639792
7382,743.115972045374,750.442007062021
7382.5,743.133133053831,750.397160811004
7383,743.151469151077,750.352888896698
7383.5,743.170953831351,750.309258894394
7384,743.19164305126,750.266178889219
7384.5,743.213513250127,750.223698259282
7385,743.236558537784,750.181830456597
7385.5,743.260749463384,750.14052333344
7386,743.286147873703,750.099755584328
7386.5,743.31269486705,750.059513951196
7387,743.340446400033,750.019732253728
7387.5,743.369346516043,749.980330331452
7388,743.399424665927,749.941250827713
7388.5,743.430645508668,749.902527526838
7389,743.463047330368,749.86404785092
7389.5,743.496624240857,749.825799964074
7390,743.531376240135,749.787772022024
7390.5,743.56727682244,749.74996458222
7391,743.604323042687,749.712380558447
7391.5,743.642576747655,749.674983927709
7392,743.681946639719,749.637849108042
7392.5,743.722491620571,749.60095029047
7393,743.764185184451,749.564319104748
7393.5,743.807024386273,749.527951165527
7394,743.851038676884,749.491900263798
7394.5,743.896198605438,749.456119878708
7395,743.942507117018,749.42070269849
7395.5,743.989961266541,749.385637534186
7396,744.038528658074,749.350924531988
7396.5,744.088274083482,749.31658278846
7397,744.139165146831,749.282621874608
7397.5,744.191175342361,749.24904897533
7398,744.244328230748,749.215889462358
7398.5,744.298626757078,749.183181830563
7399,744.354041470503,749.1507996955
7399.5,744.410601821871,749.118842381899
7400,744.468304866096,749.087310534624
7400.5,744.527097591654,749.056155874815
7401,744.58703301007,749.025459438916
7401.5,744.648084615582,748.995206683357
7402,744.710281859035,748.965409680878
7402.5,744.773562893653,748.936140639904
7403,744.837960115366,748.907369567963
7403.5,744.903502975022,748.879144900075
7404,744.970129625841,748.851436372583
7404.5,745.037843012909,748.824306253082
7405,745.106699092835,748.797640028249
7405.5,745.176638963924,748.771483107416
7406,745.247665571262,748.745766650005
7406.5,745.319805420611,748.720551410764
7407,745.393032006209,748.695794059439
